,Judet,Populatie,Regiune,Numar Firme,Firme per 1000 locuitori,Populatia Activa,Rata Somaj,Salariul Mediu,Venit Gospodarie,Procent Urbanizare,Evolutie_medie_salariu,Evolutie_medie_somaj,Competitie_score,Forta_de_munca_score,Piata_locala_score,Stabilitate_economica_score,Urbanizare_score,Potential
32,Municipiul Bucuresti,1.0,Bucuresti-Ilfov,1.0,1.0,1.0,0.12162162162162159,1.0000000000000002,0.9999999999999998,1.0,0.6808888761991505,0.26678906392663326,0.0,0.9391891891891893,1.0,0.7070499061362586,1.0,0.6938953237582767
2,Cluj,0.32899713399736896,Nord-Vest,0.29294257913157185,0.7331897919844945,0.24332665999332662,0.09459459459459459,0.7221467391304348,0.29627778416446326,0.4485611406406375,1.0,0.5557865125087941,0.4869338144419668,0.574366032699366,0.4491405524307557,0.722106743745603,0.4485611406406375,0.5244919809159899
20,Constanta,0.3054478846916828,Sud-Est,0.17710857274720204,0.42355833516084473,0.17425759092425758,0.22972972972972971,0.24592391304347827,0.13270921532071456,0.5269329917175372,0.8711216394535755,0.4260438130879125,0.6996665460459766,0.4722639305972639,0.22802700435195855,0.7225389131828315,0.5269329917175372,0.5137969594539918
12,Bacau,0.26529578817682553,Nord-Est,0.0800584592900273,0.15628024330669849,0.10060060060060058,0.28378378378378377,0.18365036231884058,0.0,0.2000671872972119,0.8493942283084328,0.0,0.8818306487016371,0.4084084084084084,0.1496487168318887,0.9246971141542164,0.2000671872972119,0.5082661682827774
7,Brasov,0.24000357597778196,Centru,0.16852428752740278,0.5105657763728743,0.15932599265932598,0.28378378378378377,0.40149456521739135,0.24682151324459745,0.5589054357305161,0.8142949186561275,0.7933990024995441,0.6604549680498615,0.4377711044377711,0.2961065514799236,0.5104479580782917,0.5589054357305161,0.4870976098413216
29,Prahova,0.3260404268203554,Sud-Muntenia,0.13902542209915003,0.2795194831884745,0.16599933266599934,0.2432432432432432,0.28849637681159424,0.2224949059241228,0.2756129809841004,0.6463220975463795,0.5082017358663674,0.7907275473561877,0.46137804471137805,0.27901056985202416,0.569060180840006,0.2756129809841004,0.48641111251794455
3,Maramures,0.17132392094217877,Nord-Vest,0.07728164301373024,0.2686542687667285,0.09059059059059058,0.2432432432432432,0.06997282608695654,0.29627778416446326,0.39211927816296127,0.5621660366456678,0.424436936631878,0.8270320441097706,0.4236736736736737,0.17919151039786618,0.568864550006895,0.39211927816296127,0.48043819758712236
41,Timis,0.3094441051180856,Vest,0.21330718049305797,0.5298120195782249,0.22288955622288956,0.05405405405405404,0.5726902173913044,0.2030799374215897,0.3302762773498709,0.6621289014824265,0.8054722592459501,0.6284403999643586,0.5844177510844177,0.3617380866436599,0.4283283211182382,0.3302762773498709,0.47821886163910454
39,Caras-Severin,0.03546547745828896,Vest,0.008776585515941696,0.12094447498451721,0.01985318651985319,0.28378378378378377,0.07925724637681175,0.2030799374215897,0.34184112952777274,0.5107455216426606,0.38109228365416953,0.9351394697497706,0.36803470136803473,0.10593422041889682,0.5648266189942456,0.34184112952777274,0.46987552509407654
34,Gorj,0.07877591931341227,Sud-Vest Oltenia,0.0332833352563363,0.20729180788716967,0.042542542542542534,0.33783783783783783,0.23346920289855078,0.1768606497425056,0.22653324587484186,0.7452636181965149,0.3819072730259503,0.879712428428247,0.35235235235235235,0.1630352573181562,0.6816781725852823,0.22653324587484186,0.4673891046760899
11,Sibiu,0.13328021570715612,Centru,0.08906580516133994,0.4050711317771857,0.1021021021021021,0.25675675675675674,0.3815670289855073,0.24682151324459745,0.490737164240125,0.6268634325392788,0.8879514070193402,0.7529315315307372,0.42267267267267267,0.25388958597908695,0.3694560127599693,0.490737164240125,0.46526879046200464
38,Arad,0.1445628171396354,Vest,0.08281219953078728,0.3467489103175152,0.1041875208541875,0.08108108108108107,0.178215579710145,0.2030799374215897,0.3661388207239549,0.5772468557115444,0.7067022218388688,0.7852194450758487,0.5115532198865532,0.17528611142379003,0.43527231693633783,0.3661388207239549,0.46264870375126427
10,Mures,0.2156647403370294,Centru,0.09948078920041538,0.29062279360129073,0.11803470136803468,0.3243243243243243,0.24796195652173925,0.24682151324459745,0.27444701081444517,0.6317797451454643,0.592224135777379,0.804948208599147,0.3968551885218552,0.23681607003445537,0.5197778046840427,0.27444701081444517,0.4589458296875447
14,Iasi,0.3845827068846708,Nord-Est,0.15908618899273103,0.27317267129683986,0.17434100767434102,0.3243243243243243,0.4408967391304348,0.0,0.22945709954073862,0.5546276471785823,0.5690905082595741,0.7838705698552145,0.42500834167500834,0.27515981533836853,0.4927685694595041,0.22945709954073862,0.4580931149834338
31,Ilfov,0.2573183559898933,Bucuresti-Ilfov,0.2542056074766355,0.7789257252807992,0.12529195862529197,0.0,0.4628623188405798,0.9999999999999998,0.24933150466723691,0.5329159021899446,0.9789990330401127,0.48343433362128263,0.5626459793126459,0.5733935582768243,0.2769584345749159,0.24933150466723691,0.4556796597233788
0, Bihor,0.23923878656894068,Nord-Vest,0.15028652744125226,0.4445863072639826,0.14080747414080746,0.12162162162162159,0.08333333333333348,0.29627778416446326,0.27733769395058555,0.8203348075676757,0.7181488922286056,0.7025635826473826,0.509592926259593,0.20628330135557915,0.5510929576695351,0.27733769395058555,0.45339490399567717
18, Braila,0.05573761719810394,Sud-Est,0.022506826660513055,0.18348907039281043,0.03361695028361695,0.36486486486486486,0.015172101449275388,0.13270921532071456,0.4635161473352943,0.33828918443282907,0.46443937064734275,0.8970020514733382,0.33437604270937604,0.06787297798936463,0.43692490689274316,0.4635161473352943,0.44316012404175653
26, Dambovita,0.18769054480152017,Sud-Muntenia,0.05182877581631476,0.13222163982919682,0.07957957957957959,0.31081081081081074,0.11730072463768115,0.2224949059241228,0.0,0.5621053555350279,0.34397551646201874,0.9079747921772442,0.38438438438438444,0.17582872512110803,0.6090649195365045,0.0,0.4391874941319407
21, Galati,0.1981620257261584,Sud-Est,0.07612784123687551,0.22173142346399954,0.08199866533199868,0.6351351351351351,0.1596467391304348,0.13270921532071456,0.34267605352491487,0.6000356220979826,0.4552181067187552,0.8510703676495625,0.2234317650984318,0.1635059933924359,0.5724087576896137,0.34267605352491487,0.4355931649623652
6, Alba,0.08898246465785462,Centru,0.05111341871466482,0.2987356485642958,0.07182182182182181,0.41891891891891886,0.15738224637681175,0.24682151324459745,0.42635423435717085,0.4377208905208425,0.6564293863382757,0.8250754663605198,0.3264514514514515,0.16439540809308795,0.3906457520912834,0.42635423435717085,0.4352080068709603
